State,Avg. Commute Time (min)
Alabama,24.7
Alaska,18.8
Arizona,25.3
Arkansas,21.7
California,29.3
Colorado,25.5
Connecticut,26.3
Delaware,25.8
District of Columbia,30.3
Florida,27.4
Georgia,28.4
Hawaii,27.4
Idaho,20.7
Illinois,29
Indiana,23.6
Iowa,19.1
Kansas,19.3
Kentucky,23.3
Louisiana,25.5
Maine,24
Maryland,32.9
Massachusetts,29.7
Michigan,24.5
Minnesota,23.5
Mississippi,24.6
Missouri,23.6
Montana,18
Nebraska,18.6
Nevada,24.3
New Hampshire,27.3
New Jersey,31.7
New Mexico,22.1
New York,33.3
North Carolina,24.5
North Dakota,17.1
Ohio,23.5
Oklahoma,21.7
Oregon,23.7
Pennsylvania,26.9
Rhode Island,24.8
South Carolina,24.6
South Dakota,17
Tennessee,25
Texas,26.4
Utah,21.7
Vermont,22.9
Virginia,28.4
Washington,27.6
West Virginia,25.8
Wisconsin,22
Wyoming,17.8
