State,Regular ,Mid-Grade ,Premium ,Diesel 
Alaska,$2.53 ,$2.65 ,$2.80 ,$2.42 
Alabama,$1.89 ,$2.22 ,$2.56 ,$2.28 
Arkansas,$1.89 ,$2.18 ,$2.48 ,$2.16 
Arizona,$2.34 ,$2.63 ,$2.88 ,$2.49 
California,$3.18 ,$3.36 ,$3.48 ,$3.35 
Colorado,$2.44 ,$2.75 ,$3.04 ,$2.28 
Connecticut,$2.20 ,$2.55 ,$2.78 ,$2.74 
District of Columbia,$2.30 ,$2.76 ,$2.86 ,$2.78 
Delaware,$2.24 ,$2.62 ,$2.85 ,$2.50 
Florida,$2.16 ,$2.51 ,$2.80 ,$2.40 
Georgia,$2.00 ,$2.32 ,$2.63 ,$2.49 
Hawaii,$3.24 ,$3.41 ,$3.64 ,$4.04 
Iowa,$2.06 ,$2.22 ,$2.62 ,$2.21 
Idaho,$2.42 ,$2.57 ,$2.77 ,$2.34 
Illinois,$2.37 ,$2.72 ,$3.12 ,$2.42 
Indiana,$2.10 ,$2.42 ,$2.74 ,$2.48 
Kansas,$1.97 ,$2.23 ,$2.46 ,$2.13 
Kentucky,$2.04 ,$2.38 ,$2.70 ,$2.30 
Louisiana,$1.86 ,$2.18 ,$2.48 ,$2.24 
Massachusetts,$2.14 ,$2.49 ,$2.69 ,$2.63 
Maryland,$2.28 ,$2.71 ,$2.94 ,$2.53 
Maine,$2.21 ,$2.53 ,$2.78 ,$2.54 
Michigan,$2.14 ,$2.44 ,$2.78 ,$2.42 
Minnesota,$2.06 ,$2.30 ,$2.60 ,$2.34 
Missouri,$1.90 ,$2.15 ,$2.42 ,$2.02 
Mississippi,$1.83 ,$2.13 ,$2.46 ,$2.13 
Montana,$2.24 ,$2.46 ,$2.72 ,$2.21 
North Carolina,$1.97 ,$2.32 ,$2.64 ,$2.39 
North Dakota,$2.09 ,$2.31 ,$2.52 ,$2.17 
Nebraska,$2.12 ,$2.24 ,$2.58 ,$2.23 
New Hampshire,$2.12 ,$2.50 ,$2.76 ,$2.55 
New Jersey,$2.19 ,$2.57 ,$2.75 ,$2.53 
New Mexico,$2.04 ,$2.35 ,$2.60 ,$2.37 
Nevada,$2.66 ,$2.86 ,$3.04 ,$2.62 
New York,$2.26 ,$2.59 ,$2.82 ,$2.83 
Ohio,$2.10 ,$2.42 ,$2.75 ,$2.43 
Oklahoma,$1.90 ,$2.14 ,$2.35 ,$2.04 
Oregon,$2.66 ,$2.83 ,$3.02 ,$2.62 
Pennsylvania,$2.41 ,$2.72 ,$3.00 ,$2.77 
Rhode Island,$2.15 ,$2.52 ,$2.72 ,$2.71 
South Carolina,$1.91 ,$2.25 ,$2.56 ,$2.23 
South Dakota,$2.15 ,$2.27 ,$2.58 ,$2.23 
Tennessee,$1.93 ,$2.27 ,$2.58 ,$2.32 
Texas,$1.88 ,$2.21 ,$2.50 ,$2.09 
Utah,$2.37 ,$2.53 ,$2.70 ,$2.31 
Virginia,$1.99 ,$2.37 ,$2.66 ,$2.37 
Vermont,$2.17 ,$2.50 ,$2.78 ,$2.52 
Washington,$2.80 ,$3.01 ,$3.17 ,$2.73 
Wisconsin,$2.06 ,$2.41 ,$2.78 ,$2.15 
West Virginia,$2.14 ,$2.41 ,$2.70 ,$2.41 
Wyoming,$2.19 ,$2.41 ,$2.65 ,$2.37 
