"Table with row headers in column A, and Column headers in row 6",,,
Supplemental Table 2.,,,
Percentage of Workers Who Commuted by Bicycle in Medium-Sized Cities: 2008Ð2012,,,
"(Total City Population of 100,000Ð199,999)1",,,
"(For information on confidentiality protection, sampling error, and definitions, see www.census.gov/acs/www/Downloads/data_documentation/ Accuracy
/ACS_Accuracy_of_Data_2012.pdf)",,,
City,Number of workers who commuted by bicycle,Percentage of workers,"Margin of 
error (±)2 "
"Abilene city, Texas ",227,0.4,0.2
"Akron city, Ohio ",159,0.2,0.1
"Alexandria city, Virginia ",864,1.0,0.2
"Allentown city, Pennsylvania ",186,0.4,0.2
"Amarillo city, Texas ",184,0.2,0.1
"Ann Arbor city, Michigan ","2,063",3.7,0.5
"Antioch city, California ",115,0.3,0.2
"Arvada city, Colorado ",303,0.6,0.2
Athens-Clarke County unified government ,849,1.7,0.5
Augusta-Richmond County consolidated government ,255,0.3,0.1
"Aurora city, Illinois ",327,0.4,0.2
"Beaumont city, Texas ",119,0.2,0.1
"Bellevue city, Washington ",324,0.5,0.2
"Berkeley city, California ","4,348",8.1,1.0
"Billings city, Montana ",502,0.9,0.3
"Boulder city, Colorado ","5,507",10.5,1.0
"Bridgeport city, Connecticut ",185,0.3,0.2
"Broken Arrow city, Oklahoma ",8,0.0,0.1
"Brownsville city, Texas ",94,0.1,0.1
"Burbank city, California ",593,1.1,0.4
"Cambridge city, Massachusetts ","4,173",7.2,0.8
"Cape Coral city, Florida ",271,0.4,0.2
"Carlsbad city, California ",287,0.6,0.3
"Carrollton city, Texas ",105,0.2,0.1
"Cary town, North Carolina ",121,0.2,0.1
"Cedar Rapids city, Iowa ",262,0.4,0.2
"Centennial city, Colorado ",263,0.5,0.2
"Charleston city, South Carolina ","1,375",2.2,0.4
"Chattanooga city, Tennessee ",356,0.5,0.2
"Clarksville city, Tennessee ",75,0.1,0.1
"Clearwater city, Florida ",673,1.4,0.6
"Columbia city, Missouri ",777,1.4,0.4
"Columbia city, South Carolina ",343,0.5,0.2
"Columbus city, Georgia ",187,0.2,0.1
"Concord city, California ",546,0.9,0.3
"Coral Springs city, Florida ",218,0.4,0.2
"Corona city, California ",113,0.2,0.1
"Costa Mesa city, California ","1,295",2.2,0.6
"Daly City city, California ",113,0.2,0.1
"Davenport city, Iowa ",168,0.4,0.2
"Dayton city, Ohio ",350,0.6,0.2
"Denton city, Texas ",731,1.3,0.4
"Downey city, California ",108,0.2,0.1
"El Cajon city, California ",92,0.2,0.1
"El Monte city, California ",500,1.1,0.5
"Elgin city, Illinois ",122,0.2,0.2
"Elizabeth city, New Jersey ",248,0.4,0.3
"Elk Grove city, California ",337,0.5,0.2
"Erie city, Pennsylvania ",238,0.6,0.3
"Escondido city, California ",411,0.7,0.3
"Eugene city, Oregon ","6,066",8.7,0.9
"Evansville city, Indiana ",373,0.7,0.2
"Everett city, Washington ",250,0.5,0.2
"Fairfield city, California ",105,0.2,0.1
"Fargo city, North Dakota ",675,1.1,0.3
"Flint city, Michigan ",59,0.2,0.2
"Fort Collins city, Colorado ","5,182",6.8,0.6
"Fort Lauderdale city, Florida ","1,149",1.5,0.3
"Frisco city, Texas ",52,0.1,0.1
"Fullerton city, California ",555,0.9,0.3
"Gainesville city, Florida ","3,623",6.5,1.0
"Garden Grove city, California ",629,0.8,0.3
"Glendale city, California ",472,0.5,0.2
"Grand Prairie city, Texas ",60,0.1,0.1
"Grand Rapids city, Michigan ",732,0.9,0.3
"Green Bay city, Wisconsin ",313,0.6,0.2
"Gresham city, Oregon ",215,0.5,0.3
"Hampton city, Virginia ",91,0.1,0.1
"Hartford city, Connecticut ",364,0.8,0.5
"Hayward city, California ",187,0.3,0.2
"High Point city, North Carolina ",75,0.2,0.1
"Hollywood city, Florida ",742,1.1,0.5
"Huntington Beach city, California ","1,253",1.3,0.3
"Huntsville city, Alabama ",103,0.1,0.1
"Independence city, Missouri ",49,0.1,0.1
"Inglewood city, California ",280,0.6,0.3
"Jackson city, Mississippi ",70,0.1,0.1
"Joliet city, Illinois ",81,0.1,0.1
"Kansas City city, Kansas ",76,0.1,0.1
"Kenosha city, Wisconsin ",158,0.4,0.2
"Kent city, Washington ",61,0.1,0.1
"Killeen city, Texas ",134,0.2,0.2
"Knoxville city, Tennessee ",440,0.5,0.2
"Lafayette city, Louisiana ",513,0.9,0.3
"Lakewood city, Colorado ",546,0.8,0.3
"Lancaster city, California ",74,0.1,0.1
"Lansing city, Michigan ",668,1.3,0.4
"Las Cruces city, New Mexico ",602,1.4,0.6
"Little Rock city, Arkansas ",60,0.1,0.1
"Lowell city, Massachusetts ",142,0.3,0.2
"Manchester city, New Hampshire ",102,0.2,0.1
"McAllen city, Texas ",32,0.1,0.1
"McKinney city, Texas ",74,0.1,0.1
"Mesquite city, Texas ",94,0.1,0.1
"Miami Gardens city, Florida ",78,0.2,0.1
"Midland city, Texas ",98,0.2,0.1
"Miramar city, Florida ",127,0.2,0.1
"Mobile city, Alabama ",61,0.1,0.1
"Moreno Valley city, California ",127,0.2,0.1
"Murfreesboro city, Tennessee ",214,0.4,0.2
"Murrieta city, California ",152,0.3,0.2
"Naperville city, Illinois ",264,0.4,0.3
"New Haven city, Connecticut ","1,544",2.7,0.5
"Newport News city, Virginia ",351,0.4,0.2
"Norman city, Oklahoma ",714,1.3,0.3
"North Charleston city, South Carolina ",261,0.6,0.2
"Norwalk city, California ",242,0.5,0.3
"Oceanside city, California ",321,0.4,0.2
"Odessa city, Texas ",46,0.1,0.1
"Olathe city, Kansas ",50,0.1,0.1
"Ontario city, California ",588,0.8,0.3
"Orange city, California ",818,1.2,0.3
"Overland Park city, Kansas ",262,0.3,0.1
"Palm Bay city, Florida ",249,0.6,0.3
"Palmdale city, California ",58,0.1,0.1
"Pasadena city, California ","1,384",2.1,0.6
"Pasadena city, Texas ",136,0.2,0.1
"Paterson city, New Jersey ",47,0.1,0.1
"Pembroke Pines city, Florida ",135,0.2,0.1
"Peoria city, Arizona ",298,0.4,0.2
"Peoria city, Illinois ",213,0.4,0.2
"Pomona city, California ",442,0.8,0.3
"Pompano Beach city, Florida ",523,1.2,0.4
"Port St. Lucie city, Florida ",216,0.3,0.2
"Providence city, Rhode Island ",923,1.2,0.3
"Provo city, Utah ","1,709",3.1,0.5
"Pueblo city, Colorado ",311,0.8,0.3
"Rancho Cucamonga city, California ",363,0.5,0.2
"Rialto city, California ",22,0.1,0.1
"Richardson city, Texas ",187,0.4,0.2
"Richmond city, California ",271,0.6,0.2
"Rochester city, Minnesota ",387,0.7,0.2
"Rockford city, Illinois ",278,0.5,0.2
"Roseville city, California ",447,0.8,0.3
"Round Rock city, Texas ",168,0.3,0.2
"Salem city, Oregon ","1,031",1.6,0.4
"Salinas city, California ",281,0.5,0.2
"Salt Lake City city, Utah ","2,432",2.5,0.3
"San Buenaventura (Ventura) city, California ",540,1.1,0.3
"Santa Clara city, California ",869,1.6,0.4
"Santa Clarita city, California ",346,0.4,0.1
"Santa Maria city, California ",402,1.0,0.3
"Santa Rosa city, California ",944,1.2,0.4
"Savannah city, Georgia ",672,1.2,0.4
"Simi Valley city, California ",266,0.4,0.2
"Sioux Falls city, South Dakota ",443,0.5,0.2
"South Bend city, Indiana ",629,1.5,0.4
"Springfield city, Illinois ",191,0.3,0.1
"Springfield city, Massachusetts ",121,0.2,0.1
"Springfield city, Missouri ",671,0.9,0.3
"Stamford city, Connecticut ",121,0.2,0.1
"Sterling Heights city, Michigan ",80,0.1,0.1
"Sunnyvale city, California ",909,1.3,0.3
"Surprise city, Arizona ",159,0.4,0.3
"Syracuse city, New York ",684,1.2,0.3
"Tallahassee city, Florida ",755,0.9,0.2
"Temecula city, California ",331,0.8,0.5
"Tempe city, Arizona ","3,625",4.2,0.6
"Thornton city, Colorado ",222,0.4,0.2
"Thousand Oaks city, California ",476,0.8,0.3
"Topeka city, Kansas ",254,0.4,0.2
"Torrance city, California ",312,0.4,0.2
"Vallejo city, California ",104,0.2,0.1
"Vancouver city, Washington ",605,0.8,0.3
"Victorville city, California ",57,0.2,0.1
"Visalia city, California ",339,0.7,0.4
"Waco city, Texas ",158,0.3,0.2
"Warren city, Michigan ",58,0.1,0.1
