State,Avg. Commute (mi)
Maine,9.8
New Hampshire,9.6
Vermont,9.5
Minnesota,8.7
Mississippi,8.5
Wisconsin,8.1
Delaware,8
Michigan,8
Maryland,7.9
Missouri,7.9
Alabama,7.8
West Virginia,7.8
Arizona,7.6
South Carolina,7.6
North Carolina,7.5
Virginia,7.5
Georgia,7.4
Tennessee,7.4
New Mexico,7.3
Oklahoma,9.8
South Dakota,7.3
Texas,7.3
Louisiana,7.2
Arkansas,7
Iowa,7
Kentucky,7
New Jersey,7
Washington,7
Colorado,6.9
Indiana,6.9
North Dakota,6.8
Ohio,6.7
Pennsylvania,6.7
Utah,6.7
California,6.6
Connecticut,6.5
Illinois,6.5
Montana,6.5
Kansas,6.4
Massachusetts,6.4
Oregon,6.3
Idaho,6.2
Nebraska,6.2
Florida,6
New York,6
Nevada,5.9
Rhode Island,5.9
Wyoming,5.7
