"Table with row headers in Column A, and column headers in row 3",,,
Supplemental Table 1.,,,
Percentage of Workers Who Commuted by Bicycle in Small Cities: 2008Ð2012 ,,,
"(Total City Population of 20,000Ð99,999)1",,,
"(For information on confidentiality protection, sampling error, and definitions, see www.census.gov/acs/www/Downloads/data_documentation/ Accuracy
/ACS_Accuracy_of_Data_2012.pdf)",,,
City,Number of workers who commuted by bicycle,Percentage of workers,"Margin of 
error (±)2 "
"Aberdeen city, South Dakota ",110,0.8,0.5
"Acworth city, Georgia ",0,0.0,0.4
"Addison village, Illinois ",43,0.2,0.3
"Adelanto city, California ",0,0.0,0.5
"Adrian city, Michigan ",121,1.5,1.0
"Agawam Town city, Massachusetts ",0,0.0,0.2
"Agoura Hills city, California ",84,0.8,1.1
"Aiken city, South Carolina ",23,0.2,0.3
"Alabaster city, Alabama ",0,0.0,0.2
"Alameda city, California ",576,1.5,0.4
"Alamogordo city, New Mexico ",35,0.3,0.2
"Albany city, Georgia ",77,0.3,0.2
"Albany city, New York ",419,0.9,0.3
"Albany city, Oregon ",281,1.3,0.6
"Albertville city, Alabama ",2,0.0,0.1
"Alexandria city, Louisiana ",100,0.5,0.3
"Algonquin village, Illinois ",109,0.7,0.6
"Alhambra city, California ",198,0.5,0.2
"Aliso Viejo city, California ",85,0.3,0.2
"Allen city, Texas ",21,0.0,0.1
"Allen Park city, Michigan ",55,0.5,0.4
"Alliance city, Ohio ",19,0.2,0.2
"Alpharetta city, Georgia ",0,0.0,0.1
"Altamonte Springs city, Florida ",282,1.3,0.7
"Alton city, Illinois ",10,0.1,0.1
"Altoona city, Pennsylvania ",33,0.2,0.2
"Alvin city, Texas ",127,1.2,0.7
"American Fork city, Utah ",32,0.3,0.3
"Ames city, Iowa ",808,2.5,0.6
"Anderson city, Indiana ",96,0.4,0.2
"Anderson city, South Carolina ",10,0.1,0.2
"Andover city, Minnesota ",22,0.1,0.2
"Ankeny city, Iowa ",52,0.2,0.2
"Annapolis city, Maryland ",41,0.2,0.2
"Anniston city, Alabama ",12,0.1,0.2
"Apache Junction city, Arizona ",71,0.6,0.6
"Apex town, North Carolina ",0,0.0,0.2
"Apopka city, Florida ",79,0.4,0.4
"Apple Valley city, Minnesota ",79,0.3,0.2
"Apple Valley town, California ",21,0.1,0.1
"Appleton city, Wisconsin ",399,1.1,0.4
"Arcadia city, California ",90,0.4,0.2
"Ardmore city, Oklahoma ",19,0.2,0.3
"Arlington Heights village, Illinois ",154,0.4,0.2
"Arnold city, Missouri ",0,0.0,0.3
"Arvin city, California ",0,0.0,0.6
"Asheboro city, North Carolina ",10,0.1,0.2
"Asheville city, North Carolina ",428,1.1,0.3
"Ashland city, Kentucky ",0,0.0,0.4
"Ashland city, Ohio ",49,0.6,0.4
"Ashland city, Oregon ",560,6.2,1.9
"Atascadero city, California ",58,0.4,0.4
"Athens city, Alabama ",0,0.0,0.4
"Athens city, Ohio ",208,2.2,0.9
"Atlantic City city, New Jersey ",166,1.1,0.6
"Attleboro city, Massachusetts ",39,0.2,0.2
"Atwater city, California ",18,0.2,0.2
"Auburn city, Alabama ",475,2.0,0.5
"Auburn city, Maine ",57,0.5,0.5
"Auburn city, New York ",54,0.4,0.4
"Auburn city, Washington ",97,0.3,0.2
"Auburn Hills city, Michigan ",43,0.4,0.4
"Austin city, Minnesota ",100,0.9,0.7
"Aventura city, Florida ",0,0.0,0.3
"Avon city, Ohio ",14,0.2,0.2
"Avon Lake city, Ohio ",78,0.7,0.7
"Avondale city, Arizona ",42,0.1,0.1
"Azusa city, California ",154,0.7,0.4
"Bainbridge Island city, Washington ",194,1.9,0.9
"Balch Springs city, Texas ",0,0.0,0.4
"Baldwin Park city, California ",294,1.0,0.5
"Ballwin city, Missouri ",0,0.0,0.2
"Bangor city, Maine ",50,0.3,0.3
"Banning city, California ",47,0.5,0.5
"Barberton city, Ohio ",8,0.1,0.1
"Barnstable Town city, Massachusetts ",49,0.2,0.2
"Barstow city, California ",29,0.3,0.5
"Bartlesville city, Oklahoma ",115,0.7,0.5
"Bartlett city, Tennessee ",36,0.1,0.2
"Bartlett village, Illinois ",28,0.1,0.1
"Batavia city, Illinois ",47,0.4,0.4
"Battle Creek city, Michigan ",61,0.3,0.2
"Bay City city, Michigan ",158,1.1,0.6
"Bayonne city, New Jersey ",71,0.2,0.2
"Baytown city, Texas ",83,0.3,0.3
"Beaumont city, California ",36,0.2,0.2
"Beavercreek city, Ohio ",116,0.5,0.3
"Beaverton city, Oregon ",564,1.3,0.4
"Bedford city, Texas ",54,0.2,0.1
"Bell city, California ",234,1.8,0.9
"Bell Gardens city, California ",173,1.1,0.5
"Bella Vista town, Arkansas ",0,0.0,0.3
"Belleville city, Illinois ",100,0.5,0.3
"Bellevue city, Nebraska ",31,0.1,0.1
"Bellflower city, California ",177,0.6,0.3
"Bellingham city, Washington ","1,578",4.0,1.0
"Belmont city, California ",42,0.3,0.3
"Beloit city, Wisconsin ",86,0.6,0.4
"Belton city, Missouri ",32,0.3,0.3
"Belvidere city, Illinois ",40,0.4,0.6
"Benbrook city, Texas ",42,0.4,0.4
"Bend city, Oregon ",844,2.3,0.7
"Benicia city, California ",90,0.7,0.6
"Benton city, Arkansas ",0,0.0,0.2
"Bentonville city, Arkansas ",24,0.1,0.2
"Bergenfield borough, New Jersey ",39,0.3,0.2
"Berwyn city, Illinois ",45,0.2,0.2
"Bessemer city, Alabama ",0,0.0,0.3
"Bethel Park municipality, Pennsylvania ",7,0.0,0.1
"Bethlehem city, Pennsylvania ",84,0.3,0.1
"Bettendorf city, Iowa ",34,0.2,0.2
"Beverly city, Massachusetts ",57,0.3,0.2
"Beverly Hills city, California ",87,0.5,0.5
"Biddeford city, Maine ",88,0.8,0.6
"Big Spring city, Texas ",33,0.4,0.4
"Biloxi city, Mississippi ",88,0.4,0.3
"Binghamton city, New York ",208,1.1,0.6
"Birmingham city, Michigan ",21,0.2,0.3
"Bismarck city, North Dakota ",271,0.8,0.3
"Bixby city, Oklahoma ",22,0.2,0.3
"Blacksburg town, Virginia ",531,3.1,1.0
"Blaine city, Minnesota ",30,0.1,0.1
"Bloomingdale village, Illinois ",0,0.0,0.3
"Bloomington city, Illinois ",205,0.5,0.2
"Bloomington city, Indiana ","1,260",3.6,0.7
"Bloomington city, Minnesota ",239,0.6,0.2
"Blue Island city, Illinois ",12,0.1,0.2
"Blue Springs city, Missouri ",52,0.2,0.3
"Blythe city, California ",12,0.2,0.3
"Boca Raton city, Florida ",438,1.1,0.5
"Bolingbrook village, Illinois ",27,0.1,0.1
"Bonita Springs city, Florida ",150,0.9,0.6
"Bossier City city, Louisiana ",101,0.3,0.2
"Bothell city, Washington ",204,1.2,0.7
"Bountiful city, Utah ",44,0.2,0.2
"Bowie city, Maryland ",25,0.1,0.1
"Bowling Green city, Kentucky ",127,0.5,0.3
"Bowling Green city, Ohio ",226,1.5,0.7
"Boynton Beach city, Florida ",187,0.6,0.3
"Bozeman city, Montana ","1,185",5.8,1.2
"Bradenton city, Florida ",151,0.7,0.5
"Braintree Town city, Massachusetts ",29,0.2,0.2
"Brandon city, Mississippi ",10,0.1,0.1
"Brawley city, California ",22,0.3,0.4
"Brea city, California ",73,0.4,0.3
"Bremerton city, Washington ",221,1.2,0.6
"Brentwood city, California ",11,0.1,0.1
"Brentwood city, Tennessee ",10,0.1,0.1
"Bridgeton city, New Jersey ",3,0.0,0.1
"Brighton city, Colorado ",34,0.2,0.2
"Bristol city, Connecticut ",36,0.1,0.1
"Bristol city, Tennessee ",15,0.1,0.2
"Brockton city, Massachusetts ",98,0.2,0.2
"Brookfield city, Wisconsin ",33,0.2,0.2
"Brookings city, South Dakota ",454,3.7,1.7
"Brooklyn Center city, Minnesota ",147,1.1,0.7
"Brooklyn Park city, Minnesota ",53,0.1,0.1
"Broomfield city, Colorado ",218,0.7,0.4
"Brownsburg town, Indiana ",0,0.0,0.3
"Brunswick city, Ohio ",12,0.1,0.1
"Bryan city, Texas ",454,1.3,0.6
"Buckeye town, Arizona ",27,0.1,0.2
"Buena Park city, California ",453,1.3,0.7
"Buffalo Grove village, Illinois ",114,0.5,0.3
"Bullhead City city, Arizona ",0,0.0,0.3
