state_name,commute_cost
West Virginia,"$2,003.81 "
Mississippi,"$2,141.44 "
Alabama,"$2,178.20 "
Kentucky,"$2,200.03 "
Tennessee,"$2,222.31 "
North Carolina,"$2,243.04 "
Florida,"$2,269.36 "
Arkansas,"$2,327.42 "
Nevada,"$2,390.62 "
Louisiana,"$2,395.07 "
South Carolina,"$2,400.16 "
Georgia,"$2,403.55 "
Rhode Island,"$2,444.68 "
Delaware,"$2,517.60 "
Hawaii,"$2,520.01 "
Oklahoma,"$2,523.62 "
Virginia,"$2,599.62 "
Kansas,"$2,634.39 "
Arizona,"$2,764.98 "
Oregon,"$2,792.99 "
Idaho,"$2,838.36 "
Maryland,"$2,847.45 "
Texas,"$2,875.72 "
Ohio,"$2,925.79 "
Utah,"$2,931.13 "
New Mexico,"$2,945.67 "
Indiana,"$2,949.94 "
Pennsylvania,"$3,029.01 "
Illinois,"$3,041.70 "
Missouri,"$3,074.65 "
Alaska,"$3,081.96 "
Maine,"$3,135.70 "
District of Columbia,"$3,143.98 "
Wisconsin,"$3,154.34 "
Colorado,"$3,173.45 "
Washington,"$3,175.70 "
Montana,"$3,225.21 "
Vermont,"$3,236.60 "
Iowa,"$3,293.42 "
Connecticut,"$3,328.18 "
California,"$3,340.33 "
Massachusetts,"$3,368.87 "
New Jersey,"$3,519.25 "
South Dakota,"$3,597.75 "
New Hampshire,"$3,601.70 "
Nebraska,"$3,623.30 "
Michigan,"$3,631.39 "
Minnesota,"$3,660.54 "
New York,"$3,710.71 "
Wyoming,"$4,393.40 "
North Dakota,"$5,059.11 "
